mc500.train.0	Author: 2778399758;Work Time(s): 839;Qual. score: 80;Creativity Words: granddaughter,close,feed,top,wetter,wave,closer,sock,spank,belting,boot,dance,boy,brush,ice	Alyssa got to the beach after a long trip. She's from Charlotte. She traveled from Atlanta. She's now in Miami. She went to Miami to visit some friends. But she wanted some time to herself at the beach, so she went there first. After going swimming and laying out, she went to her friend Ellen's house. Ellen greeted Alyssa and they both had some lemonade to drink. Alyssa called her friends Kristin and Rachel to meet at Ellen's house. The girls traded stories and caught up on their lives. It was a happy time for everyone. The girls went to a restaurant for dinner. The restaurant had a special on catfish. Alyssa enjoyed the restaurant's special. Ellen ordered a salad. Kristin had soup. Rachel had a steak. After eating, the ladies went back to Ellen's house to have fun. They had lots of fun. They stayed the night because they were tired. Alyssa was happy to spend time with her friends again.	one: What city is Alyssa in?	trip	Miami	Atlanta	beach	one: Why did Alyssa go to Miami?	swim	travel	visit friends	laying out	multiple: How many friends does Alyssa have?	1	2	3	4	multiple: What did Alyssa eat at the restaurant?	steak	soup	salad	catfish
mc500.train.1	Author: 3208685851;Work Time(s): 836;Qual. score: 95;Creativity Words: elephant,piece,hope,gum,fish,pea,napkin,win,seed,swing,fluff,catch,girl,bye,wash	One morning, Elena woke up, much like she did every day. She threw the covers on the floor and rolled out of bed, yawning hugely. She walked to the window and said, "Hello there, Mr. tree!" at the big tree in the yard. It waved its branches back at her. She walked over to her fish bowl next. "Hello there, Mr. Fish!" But wait. Where was Mr. Fish? The bowl was empty--oh, the rocks and water and tiny castle were all there alright, but the pretty blue fish with the long shiny tail was nowhere to be seen. Elena was very worried. She liked Mr. Fish very much. She looked all around her desk, but here wasn't there. Then she looked on the floor behind the desk--and there he was! He was covered in dust bunnies and not moving. Elena picked him up and put him back in the bowl. And what do you know? He shook himself off and started swimming around again!	multiple: What is the very first thing Elena does after waking up?	she says hello to the tree	she throws the covers on the floor	she says hello to the sun	she gets out of bed	one: At what time of day does this story take place?	Before the tree	At the end of the day	The story doesn't say	Morning	multiple: What happened to Mr. Fish in the end?	He got put back in the bowl, but he was dead	He started swimming around in Elena's hand	He got put in a new bowl	He got put back in his bowl and started swimming around again	multiple: What was missing from the fish bowl?	the rocks	Mr. Fish	the water	the tiny castle
mc500.train.2	Author: 3165469218;Work Time(s): 1546;Qual. score: 90;Creativity Words: feed,sticker,facing,riding,smile,bench,sleep,present,animal,scare,soda,key,long,bantling,tree	Billy was like a king on the school yard. A king without a queen. He was the biggest kid in our grade, so he made all the rules during recess. He was a big bully. He told kids what to do, what to play, what to sing, and called them names like "Dork". He always had a smile on his face as he sat on the bench next to the big tree and watched his "kingdom". All of the other kids were scared of him. Even I was scared of him. He was mean and he could beat you up if you made him angry. Last week, a very, very stupid kid chose not to listen to Billy. Billy beat him up and Mr.Stupid Kid told the grownups that he tripped. No one would dare get Billy in trouble. Billy was mean, but he kept the school yard from getting too crazy. Well I had enough it. Billy had been picking on us for too long and we had to stop him. I grabbed some fishing line from home and brought it to school the next day. Before recess, I tied a long piece of fishing line around the tree by Billy's bench and tied the other end to a big rock. Then I went inside for class. When it was recess, Billy sat on his bench and started yelling at people. This was it. I called out, "Hey you big dummy! You're not so tough". Billy's face turned red with anger and he started marching my way. Billy marched and then tripped over the fishing line. Billy was lying face down and he seemed to be crying. Everyone cheered. The king was down.	multiple: Billy was like a...	prince	dummy	queen	king	multiple: Who was Billy?	The skinny kid	A teacher	A little kid	The big kid	one: What did the boy grab from his home?	a rock	a bench	a tree	Fishing line	one: What did the boy call Billy?	A dork	Dummy	Mr.Stupid Kid	A bully
mc500.train.3	Author: 3323630398;Work Time(s): 712;Qual. score: 90;Creativity Words: farm,mess,see,blue,air,stripe,block,vanilla,circle,cough,reach,cook,birthday,change,game	Billy went to the farm to buy some beef for his brother's birthday. When he arrived there he saw that all six of the cows were sad and had brown spots. The cows were all eating their breakfast in a big grassy meadow. He thought that the spots looked very strange so he went closer to the cows to get a better look.  When he got closer he also saw that there were five white chickens sitting on the fence. The fence was painted blue and had some dirty black spots on it.  Billy wondered where the dirty spots had come. Soon he got close to the chickens and they got scared. All five chickens flew away and went to eat some food. After Billy got a good look at the cows he went to the farmer to buy some beef. The farmer gave him four pounds of beef for ten dollars. Billy thought that it was a good deal so he went home and cooked his brother dinner. His brother was very happy with the dinner.  Billy's mom was also very happy.	one: What did Billy buy at the farm?	Beef	Chicken	Cows	Fence	multiple: What color were the spots on the cows?	Blue	Brown	White	Black	multiple: How many chickens were on the purple fence?	Ten	Six	Five	Four	one: How did Billy's brother feel after dinner?	Strange	Scared	Happy	Sad
mc500.train.4	Author: 646501657;Work Time(s): 743;Qual. score: 90;Creativity Words: paint,coffee,tree,wood,kitchen,trashcan,grandpa,ride,spank,dinnertime,have,wish,insect,winding,boot	The road to Grandpa's house was long and winding. There were lots of tall trees and animals in the woods. The trip took a long time because Jimmy was walking in his new boots and he wasn't used to them yet. He could have taken a ride to Grandpa's house, but that wouldn't be as fun. Jimmy liked to collect insects on the way to his Grandpa's house, so had picked the longer path. \newline\newlineAs he went along, Jimmy found more and more insects to add to his jar. His favorite was the lightning bug and he had found five of them total. He liked the moths too, but they were difficult to catch and took up a lot of space.\newline\newlineFinally, Jimmy arrived at Grandpa's house and knocked. Grandpa answered the door with a smile and welcomed Jimmy inside. They sat by the fire and talked about the insects. They watched the lightning bugs light up as night came.	multiple: Why did Grandpa answer the door?	Because he saw the insects	Because Jimmy was walking	Because Jimmy knocked	Because the trip took a long time	one: Where do Jimmy and his Grandpa sit?	On insects	Outside	By the fire	On the path	multiple: What was Jimmy's favorite insect in the jar?	Beetle	Lady bug	Moth	Lightning bug	one: Why doesn't Jimmy collect more moths?	They're difficult to catch and they take up a lot of space	They're his favorite	He doesn't like them	Grandpa doesn't like them
mc500.train.5	Author: 4279219396;Work Time(s): 2530;Qual. score: 100;Creativity Words: barn,name,trip,arm,tree,storm,white,word,clown,tape,goldfish,draw,winding,banana,street	Sammy, Kate and Ben were planning a birthday party for their friend Stew. This party was going to be a surprise. They were going to have the party in Stew's house. Sammy's job was making the house look nice. Kate's job was to get a clown to come to the party. Ben's job was to make enough food for all of the guests. Also, each of the three friends got Stew a gift.  Sammy got Stew a few goldfish in a bowl. Kate got Stew a really cool little tree in a pot.  Ben got Stew a new shirt with people from Stew's favorite television show on it. His favorite television show is Crazy Town, by the way. On the day of the party, Sammy was taping signs on the walls, Kate was on the phone with the clown and Ben was cooking in the kitchen. There was a storm outside, so they were worried that all their friends might not show up. There was thunder and lightning, wind and rain. They even lost power for a little bit! But everything turned out okay in the end. All their friends showed up and Stew was very surprised. He loved all of his gifts and he thought the clown was funny. Everyone loved the food Ben made, too.	multiple: What was Ben's job before the party?	Stopping the storm	Getting a clown	Cooking food for the guests	Calling all the guests	multiple: What did the storm do?	Made their friends not show up	Made Stew not surprised about the party	Made them lose power for a little bit	Made Ben cook bad food	one: What did Kate get Stew for his birthday?	A little tree	A few goldfish	A new shirt	A clown	multiple: What was Stew's favorite television show?	Sammy, Kate and Ben	Thunder and Lightning	Crazy Town	Ben and the Clown
mc500.train.6	Author: 3388028663;Work Time(s): 1116;Qual. score: 85;Creativity Words: chair,hush,winning,dry,spill,door,string,jump,catch,wave,suppertime,letting,potato,planting,skin	Sally was looking through her closet for some clothes to wear to the school dance tomorrow night. She had a lot of clothes to look through, but she needed something perfect for the dance, since she would be seen by a lot of other people, and she wanted to stand out from the rest of the girls. There would be a lot of boys there, too. If she looked as nice as she imagined she could, she would have a lot of boys asking her to dance. And she didn't want to dance alone, because that would make her feel sad.  But she had to hurry, since it was getting late, and she had to sleep soon. She was so excited, that she barely touched her baked potato she had during suppertime. She also had chicken, some green beans, and corn on the cob.\newline\newlineShe came down to four choices for what she could wear to the dance. a pink dress, a green dress, a red dress, and a yellow dress. She tried on each one and looked at herself in the mirror to see how she looked. She chose the yellow dress, because it was the prettiest. After making her choice, she changed into her pajamas and got in bed. She turned the light out and fell asleep. She dreamed about the fun she would have at the dance. Sally smiled as she slept.	one: why was Sally picking out a dress?	For a school dance	for suppertime	so she could dream	to sleep	multiple: What did Sally barely touch at suppertime?	chicken	a baked potato	green beans	corn on the cob	one: What dress did Sally pick?	pink	red	Yellow	green	multiple: Why did Sally want to look nice?	so she could go to sleep	so she would have fun	so she would have a lot of boys asking her to dance	so she could have chicken
mc500.train.7	Author: 3960989957;Work Time(s): 666;Qual. score: 90;Creativity Words: fly,cone,roll,head,boy,dad,tear,dingdong,alligator,make,dark,spider,bathroom,yoghurt,walk	One day my dad was walking home and he had a big ice-cream cone. He had chocolate and vanilla and strawberry ice-cream on top of each other. He was moving his head back and forward to some music that he was playing when a spider dropped on his ice-cream for a little bite. My dad saw right away that a spider was on it and he brushed the spider off. After the spider was put on the floor, a fly flew into his ice-cream, right where the spider had been! Oh how terrible! My dad made the spider leave and right after that he saw an alligator come running up to him wanting a bite of his ice-cream too! My dad dropped his cone, ran away, and bought a yoghurt instead. He thought about buying a dingdong, but since dinner time was so close and he had such a big lunch, he thought a yoghurt would be better. It's a much safer and better dessert.  \newline\newline165 words.	one: What kind of ice-cream was in the cone?	Strawberry, peach, blueberry	Vanilla, vanilla, chocolate	Chocolate, vanilla, blueberry	Chocolate, vanilla, and strawberry	multiple: In what order did the animals meet my dad?	First fly, then pig, then alligator	First fly, then spider, then alligator.	First spider, then fly, and then alligator	First alligator, then spider, then fly.	multiple: Why did my dad not eat a dingdong?	Dinner time was so far away and he had such a small lunch.	The yoghurt tasted much better.	Dinner time was so close and he had such a big lunch, he thought a yoghurt would be better. It's a much safer and better dessert.	The dingdong was too much money and did not taste good.	multiple: What animals dropped on his ice-cream cone?	A spider and a fly	Spider and a pig	Fly and a bee	Spider and a bee
mc500.train.8	Author: 202747500;Work Time(s): 449;Qual. score: 95;Creativity Words: crawl,danger,coat,get,alligator,playground,quieter,grandmother,let,sock,kind,win,cup,sticker,liar	Once upon a time, a horse, a cow, a ox, and a donkey were playing outside when they got really hungry. So, they went to a drive-in to get some lunch. The horse ordered a cheeseburger. The cow ordered a chili dog. The ox ordered a chicken sandwich. And the donkey ordered a fish sandwich. The horse ordered fries. The cow ordered onion rings. The ox ordered a baked potato. The donkey ordered a side salad. The horse had ketchup on his cheeseburger. The cow had mayonnaise on his chili dog. The ox had mustard on his chicken sandwich. And the donkey had Miracle Whip on his fish sandwich. But the restaurant didn't get any of the orders right because they had their sauces mixed up. The ketchup got mixed up with the Miracle Whip. The mayonnaise got mixed up with the ketchup. The mustard got mixed up with the mayonnaise. And the Miracle Whip got mixed up with the mustard. The Miracle Whip was red. The ketchup was yellow. The mayonnaise was blue. And the mustard was green.	multiple: Which side was ordered with the fish sandwich?	a side salad	onion rings	baked potato	fries	one: Who ordered a side salad?	the cow	the donkey	the horse	the ox	multiple: What did the cow order?	a fish sandwich with Miracle Whip	a chicken sandwich with ketchup	a cheeseburger with mustard	a chili dog with mayonnaise	one: Who ordered a cheeseburger?	the ox	the cow	the donkey	the horse
mc500.train.9	Author: 2354660034;Work Time(s): 1601;Qual. score: 85;Creativity Words: lunch,goldfish,grandpa,toilet,eye,lip,breakfast,meal,roar,look,unicorn,rule,meet,grass,bicycle	Scott Alan woke up very early that morning in his bedroom in his house. He felt something licking his face and he wasn't sure what it was. As he opened his green eyes slowly, he saw a bit of fur. Then he saw a tongue. After that, some more fur and then slurp! He was licked again!\newline\newline"Oh, Boscoe!" the little boy said with joy as he kissed his furry little brown dog. The dog had been Scott's friend for as long as could remember. They went on many adventures together. The two of them really never left each other's side and Scott woke up many times this way.\newline\newlineOne of the most memorable adventures that Scott and Boscoe had happened when Scott was 12. Scott wanted to have a little fun. He also wanted to adventure with Boscoe. Scott had got done eating breakfast and wanted to ride his bicycle. Boscoe was walking and Scott was riding his bicycle down by the park very close to the river near Scott's house. He wanted to do a little adventuring. Boscoe was walking next to the shore and started barking his head off! Scott wasn't sure what he was barking at, so he got off his bicycle and ran down into the river to see what all the noise was about. \newline\newlineAll of the sudden, Boscoe fell in the water and was taken down stream with the fast water. Scott yelled, "Boscoe!" and he was off. He jumped into the water and began swimming after Boscoe. Boscoe's little legs were doggy paddling as fast as they could, but had no hope! Finally, Scott caught up to him, but he couldn't get back to the side of the river!\newline\newlineAs Scott was thinking this was the last of him and Boscoe, a large stick from a fallen log was well in reach and Scott grabbed it and using all of this might, he pulled him and Boscoe out of the river. \newline\newline"Boy, was that close!" Scott yelled out loud!\newline\newlineThat was the best adventure ever!	multiple: Why did Scott want to go by the river?	To ride his bike and have fun	To make his mom mad	To fall into the water	To go for a swim	one: What color were Scott's eyes?	Green	Brown	Blue	Red	one: Where did the boy ride his bicycle to?	House	Library	River	School	multiple: What two characters are in this book?	Boscoe and Scott Alan	Scott and Ray	Bingo and Boscoe	Alan and Tom
